DURATION	SERVICE	SOURCE_BYTES	DESTINATION_BYTES	COUNT	SAME_SRV_RATE	SERROR_RATE	SRV_SERROR_RATE	DST_HOST_COUNT	DST_HOST_SRV_COUNT	DST_HOST_SAME_SRC_PORT_RATE	DST_HOST_SERROR_RATE	DST_HOST_SRV_SERROR_RATE	FLAG	IDS_DETECTION	MALWARE_DETECTION	ASHULA_DETECTION	LABEL	SOURCE_IP_ADDRESS	SOURCE_PORT_NUMBER	DESTINATION_IP_ADDRESS	DESTINATION_PORT_NUMBER	START_TIME	PROTOCOL
0.546248	ssh	520	1564	5	1.00	0.00	0.00	18	18	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:978a:13d3:05a3:64b8:2f79	48872	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	22	09:17:20	tcp
0.000338	dns	43	99	4	1.00	0.00	0.00	94	94	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	48631	fd65:5993:3ac4:b89c:7de8:271d:7dd0:3c4d	53	09:19:30	udp
0.000000	other	0	0	0	0.00	0.00	0.50	0	0	0.00	0.00	0.00	S0	0	0	0	1	fd65:5993:3ac4:e61a:2570:1817:128f:23af	37856	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	49155	02:24:59	tcp
0.521283	ssh	520	1564	5	0.80	0.20	0.00	15	15	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:978a:13d3:05a3:64b8:2f79	45771	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	22	09:16:48	tcp
0.000000	other	0	0	0	0.00	0.00	0.80	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd65:5993:3ac4:c109:066b:21a1:5cf9:0f8e	13908	fd65:5993:3ac4:2f68:7d44:27c1:60bb:0320	3389	14:23:09	tcp
1.012889	ssh	661	2545	1	1.00	0.00	0.00	7	9	0.00	0.00	0.00	SF	0	0	0	-1	fd65:5993:3ac4:0115:3cf7:655f:581d:3ca7	35295	fd65:5993:3ac4:2bc5:7d85:27ce:61da:2d0a	22	08:28:41	tcp
0.000536	dns	35	51	9	1.00	0.00	0.00	28	95	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	59250	fd65:5993:3ac4:b89c:7de8:271d:7dd0:3c4d	53	11:32:46	udp
0.000427	dns	43	99	27	1.00	0.00	0.00	17	99	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	60779	fd65:5993:3ac4:b89c:7de8:271d:7dd0:3c4d	53	09:17:08	udp
1.345458	ssh	949	2733	8	0.75	0.00	0.00	15	12	0.00	0.00	0.00	SF	0	0	0	-1	fd65:5993:3ac4:1c90:220e:1adc:5fe2:1216	46562	fd65:5993:3ac4:c8a6:7d74:27cf:61ef:3728	22	19:25:07	tcp
0.000413	dns	43	99	5	1.00	0.00	0.00	95	95	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	50636	fd65:5993:3ac4:b89c:7de8:271d:7dd0:3c4d	53	09:25:38	udp
0.000000	other	0	0	1	1.00	1.00	0.99	1	1	1.00	1.00	1.00	S0	0	0	0	-1	fd65:5993:3ac4:475e:1540:0c13:0cf1:0597	24808	fd65:5993:3ac4:3c43:7de0:273b:6060:17ce	80	10:29:45	tcp
0.000000	other	0	0	0	0.00	0.00	1.00	0	0	0.00	0.00	0.00	S0	0	0	0	-1	fd65:5993:3ac4:a2a7:078d:5229:754a:4901	53331	fd65:5993:3ac4:a4bd:7dc9:2792:60c4:052b	2083	07:09:21	tcp
0.000685	dns	35	51	12	1.00	0.00	0.00	29	97	0.00	0.00	0.00	SF	0	0	0	1	fd65:5993:3ac4:92ad:7dce:277c:0720:0fba	57032	fd65:5993:3ac4:b89c:7de8:271d:7dd0:3c4d	53	11:32:36	udp
0.000416	dns	46	107	39	1.00	0.00	0.00	100	100	0.00	0.00	0.00	SF	0	0	0	-1	fd65:5993:3ac4:c8a6:7d74:27cf:61ef:3728	15035	fd65:5993:3ac4:b89c:7de8:271d:7dd0:3c4d	53	19:25:19	udp
2.474813	other	0	0	0	0.00	0.00	1.00	2	84	0.50	0.00	0.00	OTH	0	0	0	-1	fd65:5993:3ac4:7570:7da8:27c1:6021:2b9a	65502	fd65:5993:3ac4:5fa1:279b:1089:1fbe:0340	80	06:19:26	tcp
